epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.003,0.5638,0.85933,1.00763,0.98683,0.9125,0.99267,0.85154,0.5967,0.99587,1.131,0.0677333,0.000325926,0.000325926
2,591.124,0.44206,0.41085,0.93392,0.99604,1,0.995,0.93822,0.3525,0.37475,0.89765,0.0347268,0.000652733,0.000652733
3,895.015,0.41966,0.38927,0.92781,0.99782,1,0.995,0.91456,0.35114,0.39963,0.88119,0.00171368,0.000972939,0.000972939
4,1196.67,0.37555,0.34071,0.90043,0.99896,1,0.995,0.9766,0.25692,0.31095,0.85424,0.0009703,0.0009703,0.0009703
5,1517.39,0.35519,0.3233,0.90193,0.99165,1,0.995,0.97061,0.26634,0.27628,0.84325,0.0009604,0.0009604,0.0009604
6,1818.29,0.34485,0.30531,0.8909,0.99869,1,0.995,0.97379,0.25375,0.30227,0.83798,0.0009505,0.0009505,0.0009505
7,2120.21,0.32486,0.28279,0.88729,0.99922,1,0.995,0.97711,0.22273,0.23682,0.83012,0.0009406,0.0009406,0.0009406
8,2422.65,0.31511,0.27318,0.89013,0.99648,1,0.995,0.99376,0.20843,0.2409,0.82673,0.0009307,0.0009307,0.0009307
9,2726.99,0.30354,0.25807,0.87222,0.99887,1,0.995,0.99271,0.2016,0.20463,0.82249,0.0009208,0.0009208,0.0009208
10,3030.01,0.33566,0.26789,0.88681,0.99922,1,0.995,0.98202,0.24431,0.22197,0.83719,0.0009109,0.0009109,0.0009109
11,3332.92,0.31599,0.25858,0.8786,0.99925,1,0.995,0.98977,0.21755,0.20272,0.82683,0.000901,0.000901,0.000901
12,3636.84,0.289,0.24427,0.86723,0.99922,1,0.995,0.9933,0.1847,0.17796,0.81783,0.0008911,0.0008911,0.0008911
13,3939.99,0.28273,0.23675,0.87209,0.99901,1,0.995,0.995,0.15858,0.15919,0.80845,0.0008812,0.0008812,0.0008812
14,4242.64,0.2809,0.23268,0.86616,0.99893,1,0.995,0.995,0.18003,0.19034,0.81952,0.0008713,0.0008713,0.0008713
15,4551.83,0.28526,0.23226,0.87113,0.98864,1,0.995,0.995,0.18388,0.22875,0.81976,0.0008614,0.0008614,0.0008614
16,4857.56,0.28448,0.23196,0.87586,0.99856,1,0.995,0.98912,0.17666,0.16885,0.81312,0.0008515,0.0008515,0.0008515
17,5170.13,0.26704,0.22217,0.86619,0.99933,1,0.995,0.99343,0.16726,0.15158,0.81193,0.0008416,0.0008416,0.0008416
18,5501.75,0.28162,0.23346,0.87765,0.99933,1,0.995,0.995,0.18998,0.1709,0.81699,0.0008317,0.0008317,0.0008317
19,5862.54,0.27543,0.22245,0.87304,0.99865,1,0.995,0.995,0.17505,0.16426,0.81665,0.0008218,0.0008218,0.0008218
20,6212.12,0.26385,0.21716,0.86474,0.99916,1,0.995,0.995,0.1842,0.16463,0.81743,0.0008119,0.0008119,0.0008119
21,6531.69,0.26627,0.21428,0.86545,0.99926,1,0.995,0.9924,0.19401,0.18287,0.82075,0.000802,0.000802,0.000802
22,6851.26,0.27274,0.22622,0.8693,0.99931,1,0.995,0.995,0.191,0.17871,0.8186,0.0007921,0.0007921,0.0007921
23,7183.56,0.26687,0.22162,0.86605,0.99895,1,0.995,0.99389,0.18044,0.17359,0.81998,0.0007822,0.0007822,0.0007822
24,7511.6,0.25729,0.21134,0.8631,0.99916,1,0.995,0.995,0.18304,0.16451,0.81815,0.0007723,0.0007723,0.0007723
25,7839.83,0.25477,0.20801,0.86115,0.9992,1,0.995,0.995,0.17058,0.16201,0.8206,0.0007624,0.0007624,0.0007624
26,8166.92,0.24443,0.20296,0.85943,0.99916,1,0.995,0.995,0.16728,0.16094,0.81269,0.0007525,0.0007525,0.0007525
27,8502.16,0.25087,0.19916,0.86108,0.99921,1,0.995,0.995,0.16983,0.1525,0.81542,0.0007426,0.0007426,0.0007426
28,8860.76,0.24356,0.19943,0.85685,0.99904,1,0.995,0.995,0.15947,0.1562,0.81333,0.0007327,0.0007327,0.0007327
