epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.435,1.38869,2.88831,2.23333,1.44551,0.00333,1,0.995,0.90364,0.00333,1,0.995,0.90553,0.41117,0.77093,2.61766,0.95379,0.00018,0.00018,0.00018
2,190.008,0.45126,0.45383,0.86555,0.87463,1,0.99115,0.995,0.95638,1,0.99115,0.995,0.995,0.32532,0.23992,2.0851,0.92916,0.000376238,0.000376238,0.000376238
3,276.193,0.38057,0.31605,0.73942,0.8553,0.99136,1,0.995,0.9275,0.99136,1,0.995,0.995,0.33081,0.21928,2.07311,0.93291,0.000568516,0.000568516,0.000568516
4,355.875,0.37339,0.27464,0.74388,0.86603,0.99567,1,0.995,0.91345,0.99567,1,0.995,0.995,0.37527,0.26889,1.65716,0.98395,0.000756834,0.000756834,0.000756834
5,450.138,0.39443,0.22786,0.69268,0.87198,0.99835,1,0.995,0.90191,0.99835,1,0.995,0.995,0.45267,0.36752,0.98794,1.0032,0.000941192,0.000941192,0.000941192
6,533.905,0.43191,0.25211,0.69527,0.88433,1,0.99961,0.995,0.83142,1,0.99961,0.995,0.98453,0.71096,0.33969,1.1667,1.45224,0.00112159,0.00112159,0.00112159
7,628.519,0.46565,0.25395,0.68909,0.89018,0.99725,0.97059,0.99389,0.92211,0.99725,0.97059,0.99389,0.99389,0.4508,0.24033,0.99894,1.03693,0.00129803,0.00129803,0.00129803
8,710.914,0.4566,0.25689,0.64933,0.8946,0.96628,0.94118,0.98974,0.89108,0.96628,0.94118,0.98974,0.98974,0.49265,0.33135,0.97872,1.05849,0.00147051,0.00147051,0.00147051
9,788.878,0.38439,0.22319,0.58738,0.86058,0.99821,1,0.995,0.92906,0.99821,1,0.995,0.995,0.44931,0.18071,0.82366,1.03264,0.00163902,0.00163902,0.00163902
10,867.117,0.38211,0.23449,0.56852,0.87674,0.99809,1,0.995,0.92386,0.99809,1,0.995,0.995,0.40823,0.2944,0.74669,0.98474,0.00180358,0.00180358,0.00180358
11,947.542,0.38148,0.22821,0.55427,0.87283,0.99818,1,0.995,0.90608,0.99818,1,0.995,0.995,0.42955,0.28522,0.65137,1.08912,0.001802,0.001802,0.001802
12,1025.52,0.43377,0.27876,0.56049,0.87443,0.99441,1,0.995,0.91809,0.99441,1,0.995,0.995,0.43332,0.24919,0.73136,1.01665,0.0017822,0.0017822,0.0017822
13,1104.48,0.41238,0.24564,0.52603,0.89656,0.98964,1,0.995,0.95174,0.98964,1,0.995,0.995,0.34071,0.28195,0.81679,0.94673,0.0017624,0.0017624,0.0017624
14,1182.3,0.35561,0.22829,0.45318,0.85831,0.99845,1,0.995,0.91216,0.99845,1,0.995,0.995,0.40249,0.21805,0.48347,0.99835,0.0017426,0.0017426,0.0017426
15,1269.21,0.40189,0.23662,0.46686,0.86098,0.99845,1,0.995,0.92916,0.99845,1,0.995,0.995,0.33432,0.2387,0.59128,0.94245,0.0017228,0.0017228,0.0017228
16,1353.4,0.38976,0.25463,0.46434,0.8803,0.99838,1,0.995,0.993,0.99838,1,0.995,0.995,0.28035,0.16721,0.42366,0.92555,0.001703,0.001703,0.001703
17,1442.56,0.3534,0.23374,0.44512,0.85833,0.99842,1,0.995,0.97174,0.99842,1,0.995,0.995,0.25702,0.20859,0.37031,0.90526,0.0016832,0.0016832,0.0016832
18,1530.33,0.36603,0.22177,0.42232,0.86854,0.9984,1,0.995,0.95758,0.9984,1,0.995,0.995,0.26396,0.22515,0.36467,0.91383,0.0016634,0.0016634,0.0016634
19,1615.87,0.36309,0.20827,0.40241,0.86663,0.99843,1,0.995,0.97391,0.99843,1,0.995,0.99248,0.26693,0.26896,0.3382,0.91168,0.0016436,0.0016436,0.0016436
20,1699.87,0.32712,0.2047,0.37807,0.88313,0.99851,1,0.995,0.99177,0.99851,1,0.995,0.995,0.21661,0.24895,0.33015,0.89503,0.0016238,0.0016238,0.0016238
21,1786.59,0.30159,0.21644,0.35141,0.83811,0.99848,1,0.995,0.9576,0.99848,1,0.995,0.995,0.26528,0.23011,0.38016,0.91616,0.001604,0.001604,0.001604
22,1878.75,0.32688,0.20628,0.35916,0.86463,0.9985,1,0.995,0.98066,0.9985,1,0.995,0.995,0.2273,0.23311,0.36822,0.90582,0.0015842,0.0015842,0.0015842
23,1961.56,0.29355,0.20485,0.3372,0.85408,0.99801,1,0.995,0.995,0.99801,1,0.995,0.995,0.19799,0.20389,0.31527,0.89323,0.0015644,0.0015644,0.0015644
24,2046.75,0.29155,0.18945,0.33335,0.855,0.99822,1,0.995,0.98949,0.99822,1,0.995,0.995,0.25916,0.20041,0.33619,0.91829,0.0015446,0.0015446,0.0015446
25,2138.43,0.32701,0.20817,0.33097,0.85624,0.99794,1,0.995,0.92701,0.99794,1,0.995,0.995,0.37448,0.21611,0.3623,0.96346,0.0015248,0.0015248,0.0015248
26,2225.63,0.32199,0.21424,0.33328,0.85598,0.99776,1,0.995,0.96713,0.99776,1,0.995,0.995,0.25079,0.18236,0.3589,0.90977,0.001505,0.001505,0.001505
27,2312.74,0.30753,0.20774,0.33307,0.85698,0.99738,1,0.995,0.98186,0.99738,1,0.995,0.995,0.20996,0.23622,0.32781,0.90054,0.0014852,0.0014852,0.0014852
28,2403.71,0.29849,0.1908,0.31491,0.84327,0.99833,1,0.995,0.97575,0.99833,1,0.995,0.995,0.30113,0.16809,0.25456,0.92106,0.0014654,0.0014654,0.0014654
29,2487.13,0.2981,0.20042,0.32345,0.85129,0.99819,1,0.995,0.98831,0.99819,1,0.995,0.995,0.24308,0.19578,0.25113,0.90385,0.0014456,0.0014456,0.0014456
30,2568.08,0.29764,0.19951,0.30811,0.85334,0.99841,1,0.995,0.995,0.99841,1,0.995,0.995,0.24538,0.20848,0.28451,0.90675,0.0014258,0.0014258,0.0014258
31,2649.12,0.26338,0.18265,0.28563,0.85876,0.99844,1,0.995,0.995,0.99844,1,0.995,0.995,0.22919,0.17482,0.23272,0.89823,0.001406,0.001406,0.001406
32,2730.98,0.26292,0.19118,0.26786,0.82662,0.99846,1,0.995,0.995,0.99846,1,0.995,0.995,0.20368,0.19591,0.26449,0.89227,0.0013862,0.0013862,0.0013862
33,2808.65,0.27682,0.2161,0.28687,0.85666,0.99847,1,0.995,0.98484,0.99847,1,0.995,0.995,0.2461,0.16617,0.26396,0.91632,0.0013664,0.0013664,0.0013664
34,2884.45,0.28046,0.2118,0.27679,0.84355,0.99848,1,0.995,0.995,0.99848,1,0.995,0.995,0.18792,0.16393,0.25427,0.89619,0.0013466,0.0013466,0.0013466
35,2960.47,0.29139,0.20033,0.28677,0.85578,0.99845,1,0.995,0.995,0.99845,1,0.995,0.995,0.23096,0.17626,0.28489,0.90101,0.0013268,0.0013268,0.0013268
36,3035.73,0.27979,0.17989,0.27501,0.84103,0.99841,1,0.995,0.995,0.99841,1,0.995,0.995,0.18622,0.21131,0.24404,0.89217,0.001307,0.001307,0.001307
37,3111.68,0.29226,0.19795,0.27587,0.8534,0.96923,1,0.991,0.98645,0.96923,1,0.991,0.98873,0.19565,0.21691,0.43191,0.89817,0.0012872,0.0012872,0.0012872
38,3188.15,0.2824,0.19223,0.27333,0.85102,0.9769,1,0.995,0.995,0.9769,1,0.995,0.995,0.30372,0.2184,0.58049,0.92128,0.0012674,0.0012674,0.0012674
